frame,time_sec,vo_x,vo_y,vo_theta_deg,speed_kmh,steering_deg,action,alert_level,min_obs_dist,features
131,6.55,-0.03,9.71,13.17,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
132,6.6,-0.03,9.71,12.98,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
133,6.65,-0.03,9.71,17.56,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
134,6.7,-0.03,9.71,22.14,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
135,6.75,-0.03,9.71,22.03,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
136,6.8,-0.03,9.71,21.9,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
137,6.85,-0.03,9.71,21.92,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
138,6.9,-0.03,9.71,21.78,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
139,6.95,-0.03,9.71,21.73,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
140,7.0,-0.03,9.71,21.61,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
141,7.05,-0.03,9.71,21.49,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
142,7.1,-0.03,9.71,21.37,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
143,7.15,-0.03,9.71,21.34,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
144,7.2,-0.03,9.71,21.23,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
145,7.25,-0.03,9.71,21.11,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
146,7.3,-0.03,9.71,20.95,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
147,7.35,-0.03,9.71,20.95,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
148,7.4,-0.03,9.71,20.82,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
149,7.45,-0.03,9.71,20.81,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
150,7.5,-0.03,9.71,20.68,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
151,7.55,-0.03,9.71,20.74,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
152,7.6,0.2,10.32,20.74,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
153,7.65,0.35,10.77,16.16,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
